singleinput	input	word	category	inconsistent
input28922_Europa	input28922	Europa	AZIONI	inconsistent
input6252_Francia	input6252	Francia	AZIONI	inconsistent
input13136_Grecia	input13136	Grecia	AZIONI	inconsistent
input4738_ambiente	input4738	ambiente	AZIONI	inconsistent
input3722_atm	input3722	atm	AZIONI	inconsistent
input1961_aula	input1961	aula	AZIONI	inconsistent
input35563_aula	input35563	aula	AZIONI	inconsistent
input1963_banche	input1963	banche	AZIONI	inconsistent
input3722_banche	input3722	banche	AZIONI	inconsistent
input35563_biblioteca	input35563	biblioteca	AZIONI	inconsistent
input5743_biglietteria	input5743	biglietteria	AZIONI	inconsistent
input1958_bosco	input1958	bosco	AZIONI	inconsistent
input25068_bosco	input25068	bosco	AZIONI	inconsistent
input11539_boutique	input11539	boutique	AZIONI	inconsistent
input7674_camera	input7674	camera	AZIONI	inconsistent
input35568_capoluogo	input35568	capoluogo	AZIONI	inconsistent
input1964_casa	input1964	casa	AZIONI	inconsistent
input26738_casa	input26738	casa	AZIONI	inconsistent
input28502_casa	input28502	casa	AZIONI	inconsistent
input28922_casa	input28922	casa	AZIONI	inconsistent
input2976_casino	input2976	casino	AZIONI	inconsistent
input29930_casino	input29930	casino	AZIONI	inconsistent
input27499_cella	input27499	cella	AZIONI	inconsistent
input28507_cella	input28507	cella	AZIONI	inconsistent
input11538_centro	input11538	centro	AZIONI	inconsistent
input13135_centro commerciale	input13135	centro commerciale	AZIONI	inconsistent
input15744_chiesa	input15744	chiesa	AZIONI	inconsistent
input18180_chiesa	input18180	chiesa	AZIONI	inconsistent
input3725_chiesa	input3725	chiesa	AZIONI	inconsistent
input4734_chiesa	input4734	chiesa	AZIONI	inconsistent
input5742_chiesa	input5742	chiesa	AZIONI	inconsistent
input10953_cielo	input10953	cielo	AZIONI	inconsistent
input27494_città	input27494	città	AZIONI	inconsistent
input28922_città	input28922	città	AZIONI	inconsistent
input4230_città	input4230	città	AZIONI	inconsistent
input10950_corridoi	input10950	corridoi	AZIONI	inconsistent
input22117_cucina	input22117	cucina	AZIONI	inconsistent
input4730_cucina	input4730	cucina	AZIONI	inconsistent
input28927_ergastolo	input28927	ergastolo	AZIONI	inconsistent
input28928_fabbrica	input28928	fabbrica	AZIONI	inconsistent
input1957_fiume	input1957	fiume	AZIONI	inconsistent
input26738_locale	input26738	locale	AZIONI	inconsistent
input7674_luogo	input7674	luogo	AZIONI	inconsistent
input11542_mare	input11542	mare	AZIONI	inconsistent
input13138_mare	input13138	mare	AZIONI	inconsistent
input1957_mare	input1957	mare	AZIONI	inconsistent
input3723_mare	input3723	mare	AZIONI	inconsistent
input32710_montagna	input32710	montagna	AZIONI	inconsistent
input3723_musei	input3723	musei	AZIONI	inconsistent
input28922_nazione	input28922	nazione	AZIONI	inconsistent
input28922_paese	input28922	paese	AZIONI	inconsistent
input1964_palazzo	input1964	palazzo	AZIONI	inconsistent
input35560_pantano	input35560	pantano	AZIONI	inconsistent
input14646_percorso	input14646	percorso	AZIONI	inconsistent
input28929_pianura	input28929	pianura	AZIONI	inconsistent
input3722_poste	input3722	poste	AZIONI	inconsistent
input3722_posto statale	input3722	posto statale	AZIONI	inconsistent
input17586_prato	input17586	prato	AZIONI	inconsistent
input28929_primo anno di università	input28929	primo anno di università	AZIONI	inconsistent
input7674_reception	input7674	reception	AZIONI	inconsistent
input35568_regione	input35568	regione	AZIONI	inconsistent
input7670_regno	input7670	regno	AZIONI	inconsistent
input28502_residenza	input28502	residenza	AZIONI	inconsistent
input25065_sala d'attesa	input25065	sala d'attesa	AZIONI	inconsistent
input11536_savana	input11536	savana	AZIONI	inconsistent
input12712_savana	input12712	savana	AZIONI	inconsistent
input12964_savana	input12964	savana	AZIONI	inconsistent
input25058_scuola	input25058	scuola	AZIONI	inconsistent
input7671_scuola	input7671	scuola	AZIONI	inconsistent
input3477_sede	input3477	sede	AZIONI	inconsistent
input11542_spiaggia	input11542	spiaggia	AZIONI	inconsistent
input10950_stanze	input10950	stanze	AZIONI	inconsistent
input17927_studio	input17927	studio	AZIONI	inconsistent
input20106_studio	input20106	studio	AZIONI	inconsistent
input21452_studio	input21452	studio	AZIONI	inconsistent
input32123_studio	input32123	studio	AZIONI	inconsistent
input10200_tribunale	input10200	tribunale	AZIONI	inconsistent
input28927_tribunale	input28927	tribunale	AZIONI	inconsistent
input3727_vaticano	input3727	vaticano	AZIONI	inconsistent
input3732_via capaci	input3732	via capaci	AZIONI	inconsistent
input11536_zoo	input11536	zoo	AZIONI	inconsistent
input27502_abiti	input27502	abiti	AZIONI	inconsistent
input13130_acqua	input13130	acqua	AZIONI	inconsistent
input15744_acqua santa	input15744	acqua santa	AZIONI	inconsistent
input26744_aerei	input26744	aerei	AZIONI	inconsistent
input3723_aereo	input3723	aereo	AZIONI	inconsistent
input28502_affitto	input28502	affitto	AZIONI	inconsistent
input25068_alberi	input25068	alberi	AZIONI	inconsistent
input17586_albero	input17586	albero	AZIONI	inconsistent
input4739_alcool	input4739	alcool	AZIONI	inconsistent
input11536_animale	input11536	animale	AZIONI	inconsistent
input12712_animale	input12712	animale	AZIONI	inconsistent
